Vardas         Pavarde        nd1  nd2  nd3  nd4  nd5  nd6  nd7  nd8  nd9  nd10 Egz. 
Vardas126      Pavarde126     3    0    1    3    9    5    4    4    4    2    7    
Vardas127      Pavarde127     0    9    4    5    8    4    3    8    5    2    0    
Vardas128      Pavarde128     8    3    6    3    7    6    3    2    10   8    3    
Vardas129      Pavarde129     4    7    0    10   6    10   2    10   6    8    7    
Vardas13       Pavarde13      9    7    3    10   9    5    8    0    2    0    5    
Vardas130      Pavarde130     5    8    9    8    9    5    10   0    9    0    3    
Vardas131      Pavarde131     4    7    8    3    0    8    2    5    5    10   8    
Vardas132      Pavarde132     0    0    3    2    3    1    10   7    1    5    4    
Vardas133      Pavarde133     1    2    7    1    5    2    7    1    8    9    9    
Vardas134      Pavarde134     5    9    7    8    3    4    10   1    0    9    4    
Vardas135      Pavarde135     2    8    4    5    10   8    9    10   10   4    1    
Vardas136      Pavarde136     0    7    3    8    8    3    4    7    9    9    1    
Vardas137      Pavarde137     6    2    2    7    6    9    2    8    5    6    8    
Vardas138      Pavarde138     5    1    9    5    9    9    10   6    0    4    8    
Vardas139      Pavarde139     10   3    6    9    6    4    10   5    1    9    2    
Vardas14       Pavarde14      5    0    3    10   4    9    8    8    6    4    3    
Vardas140      Pavarde140     5    8    5    8    5    3    0    10   2    8    4    
Vardas141      Pavarde141     0    5    2    9    6    7    5    9    8    6    3    
Vardas142      Pavarde142     2    8    5    9    6    2    4    3    8    2    3    
Vardas143      Pavarde143     5    8    4    7    8    2    6    8    1    6    3    
Vardas144      Pavarde144     6    6    8    9    1    3    2    3    7    7    1    
Vardas145      Pavarde145     3    3    9    4    0    2    6    1    1    4    6    
Vardas146      Pavarde146     8    0    7    0    10   3    6    0    2    3    0    
Vardas147      Pavarde147     1    9    10   9    9    0    0    1    1    1    6    
Vardas148      Pavarde148     1    0    3    7    4    6    0    5    5    1    3    
Vardas149      Pavarde149     5    10   0    3    6    10   9    6    8    0    10   
Vardas15       Pavarde15      1    2    5    8    0    7    5    2    5    9    3    
Vardas150      Pavarde150     0    3    9    6    4    0    8    9    8    9    10   
Vardas151      Pavarde151     8    10   6    5    6    4    0    9    10   3    5    
Vardas152      Pavarde152     4    9    7    0    10   0    6    6    1    10   7    
Vardas153      Pavarde153     3    6    6    0    9    1    7    3    9    8    7    
Vardas154      Pavarde154     1    4    0    6    4    3    3    4    8    10   8    
Vardas155      Pavarde155     9    1    0    0    2    4    5    0    7    2    8    
Vardas156      Pavarde156     6    1    7    0    8    7    8    3    5    2    8    
Vardas157      Pavarde157     8    8    3    1    2    2    5    3    7    3    10   
Vardas158      Pavarde158     7    4    6    0    8    2    10   10   1    8    7    
Vardas159      Pavarde159     0    2    4    4    0    2    9    4    9    10   3    
Vardas16       Pavarde16      9    0    1    4    5    0    0    5    6    8    6    
Vardas160      Pavarde160     1    3    7    3    3    7    9    4    9    5    10   
Vardas161      Pavarde161     1    2    6    0    3    6    6    4    4    8    1    
Vardas162      Pavarde162     7    6    1    4    9    8    8    1    1    1    2    
Vardas163      Pavarde163     3    9    8    8    4    2    3    2    6    0    0    
Vardas164      Pavarde164     5    5    7    10   1    5    1    0    5    5    10   
Vardas165      Pavarde165     5    7    1    4    6    6    8    4    6    6    2    
Vardas166      Pavarde166     0    2    8    8    7    0    2    0    5    3    1    
Vardas167      Pavarde167     7    6    10   1    4    5    9    7    8    10   10   
Vardas168      Pavarde168     2    5    0    8    4    9    2    1    3    9    2    
Vardas169      Pavarde169     4    4    9    4    6    9    5    2    0    6    5    
Vardas17       Pavarde17      10   6    3    9    9    3    7    10   4    6    8    
Vardas170      Pavarde170     5    1    6    9    5    2    7    1    6    5    9    
Vardas171      Pavarde171     3    1    1    0    7    0    0    3    10   5    0    
Vardas172      Pavarde172     0    9    8    8    3    3    0    0    3    8    9    
Vardas173      Pavarde173     5    6    0    1    7    0    5    9    3    3    6    
Vardas174      Pavarde174     6    4    9    7    10   5    9    1    5    6    5    
Vardas175      Pavarde175     2    0    9    1    8    0    7    2    8    3    3    
Vardas176      Pavarde176     2    7    9    3    10   0    3    2    6    7    2    
Vardas177      Pavarde177     3    9    5    8    5    2    2    10   5    4    1    
Vardas178      Pavarde178     6    8    9    7    0    6    6    2    8    3    7    
Vardas179      Pavarde179     10   7    8    4    2    4    6    10   4    4    5    
Vardas18       Pavarde18      4    8    7    1    10   9    3    7    1    8    4    
Vardas180      Pavarde180     5    4    3    5    3    0    1    6    3    7    6    
Vardas181      Pavarde181     0    6    3    3    3    4    0    9    9    2    0    
Vardas182      Pavarde182     2    6    0    9    10   10   1    5    2    0    2    
Vardas183      Pavarde183     6    5    1    9    5    10   6    7    3    6    9    
Vardas184      Pavarde184     5    5    10   5    1    5    5    5    10   1    7    
Vardas185      Pavarde185     9    4    3    0    0    0    3    5    9    5    8    
Vardas186      Pavarde186     10   10   4    6    5    7    6    4    3    10   3    
Vardas187      Pavarde187     3    0    3    4    0    5    10   7    2    5    9    
Vardas188      Pavarde188     0    2    10   6    1    10   1    3    3    0    4    
Vardas189      Pavarde189     4    3    5    4    1    5    3    3    9    7    0    
Vardas19       Pavarde19      7    1    7    5    1    3    10   10   3    8    3    
Vardas190      Pavarde190     7    10   1    0    6    2    8    5    5    10   2    
Vardas191      Pavarde191     0    9    4    10   1    2    7    9    7    0    10   
Vardas192      Pavarde192     7    8    7    10   10   9    5    10   0    1    10   
Vardas193      Pavarde193     5    7    1    4    0    9    1    2    10   3    7    
Vardas194      Pavarde194     1    6    1    5    0    5    5    6    0    0    4    
Vardas195      Pavarde195     10   5    3    2    9    8    5    10   5    1    6    
Vardas196      Pavarde196     9    7    8    3    0    7    7    10   1    8    3    
Vardas197      Pavarde197     4    3    3    6    10   2    10   4    3    5    5    
Vardas198      Pavarde198     8    1    1    3    6    1    1    5    10   1    2    
Vardas199      Pavarde199     10   7    5    8    8    4    1    0    6    2    0    
Vardas2        Pavarde2       3    7    5    6    10   8    7    2    5    9    10   
Vardas20       Pavarde20      5    3    2    1    6    0    6    10   9    2    2    
Vardas200      Pavarde200     6    2    8    5    8    1    8    1    9    9    9    
Vardas201      Pavarde201     7    7    1    2    10   10   10   3    8    0    6    
Vardas202      Pavarde202     10   5    0    0    0    7    8    9    3    1    2    
Vardas203      Pavarde203     4    5    9    6    7    9    6    6    5    8    2    
Vardas204      Pavarde204     6    6    7    2    2    6    5    5    10   5    9    
Vardas205      Pavarde205     3    4    2    4    9    10   10   6    6    10   10   
Vardas206      Pavarde206     7    8    0    9    9    7    2    1    8    5    5    
Vardas207      Pavarde207     5    3    8    10   6    6    0    3    9    1    3    
Vardas208      Pavarde208     10   9    5    8    2    7    2    10   10   9    9    
Vardas209      Pavarde209     10   1    9    4    8    3    8    4    9    2    8    
Vardas21       Pavarde21      5    3    7    10   4    4    8    0    1    2    5    
Vardas210      Pavarde210     5    7    8    5    4    9    5    9    1    4    6    
Vardas211      Pavarde211     4    8    2    5    1    1    9    4    2    10   9    
Vardas212      Pavarde212     2    0    8    0    0    9    1    4    10   6    2    
Vardas213      Pavarde213     5    3    10   7    8    7    5    8    0    2    5    
Vardas214      Pavarde214     7    7    7    6    0    8    4    0    5    8    6    
Vardas215      Pavarde215     8    2    9    3    8    1    1    3    9    5    4    
Vardas216      Pavarde216     7    3    4    2    5    0    7    10   2    4    5    
Vardas217      Pavarde217     4    8    9    6    2    9    2    3    9    3    10   
Vardas218      Pavarde218     6    2    6    10   7    7    4    2    0    7    2    
Vardas219      Pavarde219     0    1    5    10   1    0    6    6    1    9    9    
Vardas22       Pavarde22      3    4    9    1    2    5    5    6    8    4    9    
Vardas220      Pavarde220     4    2    5    8    3    1    1    2    9    8    8    
Vardas221      Pavarde221     5    8    1    5    1    3    8    8    8    2    9    
Vardas222      Pavarde222     1    9    6    4    9    2    5    2    9    8    6    
Vardas223      Pavarde223     5    10   6    1    0    8    8    10   0    7    1    
Vardas224      Pavarde224     6    0    5    2    0    2    7    10   1    0    10   
Vardas225      Pavarde225     10   6    8    10   2    2    6    2    2    9    8    
Vardas226      Pavarde226     5    1    3    4    7    2    2    6    2    5    2    
Vardas227      Pavarde227     9    0    8    5    6    10   5    4    0    9    5    
Vardas228      Pavarde228     2    5    8    2    0    3    6    2    6    7    6    
Vardas229      Pavarde229     3    10   4    7    1    5    2    1    10   2    9    
Vardas23       Pavarde23      1    8    8    5    4    5    5    2    9    3    0    
Vardas230      Pavarde230     1    0    3    2    7    9    3    2    4    2    10   
Vardas231      Pavarde231     5    2    0    3    4    2    3    7    3    5    2    
Vardas232      Pavarde232     2    2    4    0    5    3    1    10   5    4    6    
Vardas233      Pavarde233     1    1    10   3    2    4    8    7    0    6    10   
Vardas234      Pavarde234     4    0    8    6    10   7    3    10   3    5    2    
Vardas235      Pavarde235     5    8    7    10   4    8    4    1    8    9    9    
Vardas236      Pavarde236     10   6    0    6    9    2    6    10   6    3    0    
Vardas237      Pavarde237     7    7    9    1    1    10   0    6    7    9    7    
Vardas238      Pavarde238     2    0    3    4    6    6    2    5    7    7    9    
Vardas239      Pavarde239     6    6    6    3    7    1    3    0    9    2    9    
Vardas24       Pavarde24      9    5    0    1    0    3    6    1    1    8    10   
Vardas240      Pavarde240     2    0    4    8    10   4    10   3    4    9    0    
Vardas241      Pavarde241     6    10   1    9    6    9    5    7    0    8    4    
Vardas242      Pavarde242     0    9    1    7    9    3    1    8    0    10   2    
Vardas243      Pavarde243     7    9    8    1    4    4    2    3    5    7    7    
Vardas244      Pavarde244     5    3    3    10   5    0    1    1    8    1    0    
Vardas245      Pavarde245     2    10   1    8    6    1    5    7    6    9    10   
Vardas246      Pavarde246     5    3    8    3    0    4    7    6    1    0    1    
Vardas247      Pavarde247     9    7    9    1    7    1    4    2    6    1    6    
Vardas248      Pavarde248     8    8    5    6    9    2    6    9    4    4    1    
Vardas249      Pavarde249     8    3    5    3    3    0    3    3    0    7    8    
Vardas25       Pavarde25      4    5    1    9    7    2    0    8    8    0    8    
Vardas250      Pavarde250     6    1    9    4    9    7    7    4    5    6    3    
Vardas251      Pavarde251     4    1    6    5    7    8    5    5    5    4    10   
Vardas252      Pavarde252     9    3    4    2    2    4    10   9    7    4    9    
Vardas253      Pavarde253     2    2    5    7    5    7    5    8    7    9    9    
Vardas254      Pavarde254     1    3    6    10   5    5    5    4    7    4    2    
Vardas255      Pavarde255     4    3    3    2    2    5    5    2    2    8    6    
Vardas256      Pavarde256     9    2    4    3    3    10   8    3    7    9    1    
Vardas257      Pavarde257     6    9    7    6    1    6    1    0    3    3    0    
Vardas258      Pavarde258     1    0    4    6    0    6    7    9    2    1    7    
Vardas259      Pavarde259     5    7    7    8    10   6    7    3    6    5    2    
Vardas26       Pavarde26      5    6    4    9    4    9    8    6    10   6    2    
Vardas260      Pavarde260     10   3    9    7    1    6    8    3    0    6    7    
Vardas261      Pavarde261     8    4    9    0    10   1    3    5    8    4    6    
Vardas262      Pavarde262     6    5    3    1    8    8    7    6    8    0    10   
Vardas263      Pavarde263     0    8    2    6    5    5    6    2    3    1    3    
Vardas264      Pavarde264     9    9    2    0    7    5    7    9    7    3    2    
Vardas265      Pavarde265     1    6    2    7    5    0    1    0    9    9    4    
Vardas266      Pavarde266     7    3    7    5    2    10   3    7    5    7    9    
Vardas267      Pavarde267     7    6    7    7    4    4    6    9    1    0    9    
Vardas268      Pavarde268     4    4    9    7    8    3    7    1    5    0    7    
Vardas269      Pavarde269     5    9    4    10   3    5    7    8    9    0    2    
Vardas27       Pavarde27      5    5    10   6    6    6    8    7    10   4    4    
Vardas270      Pavarde270     7    2    1    0    10   10   3    10   0    5    7    
Vardas271      Pavarde271     7    5    8    2    6    2    3    10   4    0    3    
Vardas272      Pavarde272     1    0    1    3    9    1    0    9    4    6    7    
Vardas273      Pavarde273     4    4    9    10   7    3    7    4    8    9    3    
Vardas274      Pavarde274     8    0    0    6    7    2    1    9    9    2    1    
Vardas275      Pavarde275     6    6    9    8    10   7    9    0    1    10   5    
Vardas276      Pavarde276     4    8    1    8    1    8    0    6    6    6    8    
Vardas277      Pavarde277     3    9    9    6    8    9    2    3    10   6    10   
Vardas278      Pavarde278     8    6    9    9    8    7    10   8    9    4    1    
Vardas279      Pavarde279     0    8    6    5    6    7    8    9    3    2    4    
Vardas28       Pavarde28      9    7    10   8    8    8    2    2    10   6    0    
Vardas280      Pavarde280     6    3    4    2    8    6    7    0    5    7    1    
Vardas281      Pavarde281     4    5    5    4    5    0    6    2    6    10   8    
Vardas282      Pavarde282     2    8    10   6    8    0    8    8    4    2    0    
Vardas283      Pavarde283     6    0    8    4    0    0    5    7    10   0    0    
Vardas284      Pavarde284     1    9    2    0    2    3    2    5    10   9    3    
Vardas285      Pavarde285     0    6    0    9    3    9    7    4    9    5    10   
Vardas286      Pavarde286     5    5    5    8    6    0    8    6    4    6    0    
Vardas287      Pavarde287     6    3    8    0    7    3    3    10   4    9    8    
Vardas288      Pavarde288     3    0    2    9    9    5    10   1    6    3    3    
Vardas289      Pavarde289     8    2    7    0    4    7    4    8    7    10   7    
Vardas29       Pavarde29      9    1    4    7    7    4    7    4    9    7    9    
Vardas290      Pavarde290     5    5    1    7    6    9    2    4    1    2    0    
Vardas291      Pavarde291     9    0    3    4    7    0    4    3    10   4    7    
Vardas292      Pavarde292     2    2    4    6    0    7    8    7    7    4    5    
Vardas293      Pavarde293     0    0    4    10   2    9    2    7    9    1    0    
Vardas294      Pavarde294     1    4    2    5    7    5    7    9    9    2    8    
Vardas295      Pavarde295     2    7    9    9    1    1    8    6    0    1    8    
Vardas296      Pavarde296     0    10   2    10   9    6    9    9    8    7    7    
Vardas297      Pavarde297     1    6    4    1    9    10   0    9    8    4    1    
Vardas298      Pavarde298     4    4    10   6    2    4    7    1    4    2    8    
Vardas299      Pavarde299     4    0    9    8    6    9    5    5    5    1    5    
Vardas3        Pavarde3       8    7    8    7    9    10   8    4    10   10   3    
Vardas30       Pavarde30      5    1    4    8    4    10   9    8    6    1    7    
Vardas300      Pavarde300     9    6    8    5    10   3    1    1    6    0    10   
Vardas301      Pavarde301     3    3    5    4    4    9    7    0    9    2    7    
Vardas302      Pavarde302     6    10   3    4    10   1    0    10   2    3    8    
Vardas303      Pavarde303     9    2    9    6    5    8    10   2    8    5    7    
Vardas304      Pavarde304     4    5    3    10   9    8    10   3    7    8    5    
Vardas305      Pavarde305     5    4    8    10   6    4    4    2    0    3    3    
Vardas306      Pavarde306     10   1    6    7    3    5    1    3    2    4    10   
Vardas307      Pavarde307     10   7    2    6    8    8    8    2    10   9    6    
Vardas308      Pavarde308     7    4    7    8    2    0    5    7    2    8    5    
Vardas309      Pavarde309     10   4    3    10   5    0    0    6    5    8    10   
Vardas31       Pavarde31      9    8    3    6    1    5    6    2    1    1    4    
Vardas310      Pavarde310     4    3    9    0    8    4    9    4    4    6    10   
Vardas311      Pavarde311     0    6    3    8    3    4    3    1    8    5    5    
Vardas312      Pavarde312     10   2    0    3    3    0    3    5    2    5    7    
Vardas313      Pavarde313     4    6    4    10   6    5    4    9    9    4    10   
Vardas314      Pavarde314     4    8    9    5    7    4    5    4    8    1    8    
Vardas315      Pavarde315     1    1    7    4    3    0    5    9    9    3    8    
Vardas316      Pavarde316     7    1    7    3    9    1    3    8    7    1    8    
Vardas317      Pavarde317     1    10   6    9    5    8    3    1    9    3    7    
Vardas318      Pavarde318     9    10   9    6    9    4    2    8    1    0    8    
Vardas319      Pavarde319     0    2    4    0    4    6    7    8    8    5    3    
Vardas32       Pavarde32      0    7    1    8    1    10   8    6    10   7    4    
Vardas320      Pavarde320     7    7    8    10   9    5    9    6    10   1    0    
Vardas321      Pavarde321     6    5    8    5    2    5    4    1    3    4    8    
Vardas322      Pavarde322     4    10   9    7    5    8    3    9    3    4    6    
Vardas323      Pavarde323     10   1    7    6    0    8    1    6    5    8    2    
Vardas324      Pavarde324     5    7    4    1    6    0    9    2    8    1    9    
Vardas325      Pavarde325     3    4    9    7    4    4    3    4    6    2    3    
Vardas326      Pavarde326     4    6    7    6    6    7    0    7    3    5    9    
Vardas327      Pavarde327     0    0    2    4    9    0    10   8    2    8    7    
Vardas328      Pavarde328     2    0    4    0    7    4    9    7    5    0    5    
Vardas329      Pavarde329     2    1    1    9    9    9    6    8    6    10   9    
Vardas33       Pavarde33      1    6    4    7    4    10   5    8    6    8    8    
Vardas330      Pavarde330     6    2    1    1    5    10   1    2    7    1    0    
Vardas331      Pavarde331     2    10   3    5    8    7    8    5    5    5    9    
Vardas332      Pavarde332     5    0    3    2    6    9    2    1    1    9    9    
Vardas333      Pavarde333     7    9    0    8    6    10   0    1    0    3    2    
Vardas334      Pavarde334     10   10   2    2    6    0    8    8    5    9    9    
Vardas335      Pavarde335     8    9    6    2    2    7    2    2    5    5    3    
Vardas336      Pavarde336     3    9    4    10   6    6    1    3    0    1    5    
Vardas337      Pavarde337     1    6    7    9    2    0    0    6    1    8    7    
Vardas338      Pavarde338     6    7    10   9    2    4    1    9    5    4    2    
Vardas339      Pavarde339     0    10   7    3    3    6    2    2    9    6    7    
Vardas34       Pavarde34      4    9    4    3    0    0    2    8    9    9    6    
Vardas340      Pavarde340     5    5    4    0    4    0    2    7    0    9    5    
Vardas341      Pavarde341     1    3    1    7    2    2    7    6    1    5    2    
Vardas342      Pavarde342     5    6    3    10   5    0    2    8    5    2    8    
Vardas343      Pavarde343     10   5    5    3    0    2    8    0    0    2    0    
Vardas344      Pavarde344     2    1    5    4    0    9    8    6    8    5    2    
Vardas345      Pavarde345     3    7    1    10   1    6    3    10   8    7    7    
Vardas346      Pavarde346     0    9    9    8    10   6    4    6    8    10   5    
Vardas347      Pavarde347     5    7    6    6    8    6    2    5    1    2    7    
Vardas348      Pavarde348     0    9    9    5    10   7    4    10   6    3    1    
Vardas349      Pavarde349     6    6    3    4    10   7    10   2    8    2    8    
Vardas35       Pavarde35      5    7    2    0    6    2    8    6    10   1    5    
Vardas350      Pavarde350     2    1    4    2    1    1    4    5    1    3    8    
Vardas351      Pavarde351     6    4    0    9    0    3    3    2    6    10   10   
Vardas352      Pavarde352     8    2    8    7    7    1    10   7    0    4    9    
Vardas353      Pavarde353     7    6    10   9    7    2    4    6    2    10   4    
Vardas354      Pavarde354     9    3    10   7    0    4    4    6    1    10   1    
Vardas355      Pavarde355     6    5    3    2    3    9    10   7    1    4    2    
Vardas356      Pavarde356     1    4    3    7    1    9    6    6    4    10   5    
Vardas357      Pavarde357     5    9    1    7    1    2    2    1    6    10   8    
Vardas358      Pavarde358     3    10   1    2    10   8    1    1    4    10   7    
Vardas359      Pavarde359     9    9    2    9    0    7    3    5    6    1    3    
Vardas36       Pavarde36      4    2    8    4    5    8    10   9    7    0    3    
Vardas360      Pavarde360     7    1    10   1    2    2    0    10   7    9    7    
Vardas361      Pavarde361     4    10   3    8    1    7    6    7    5    7    2    
Vardas362      Pavarde362     8    0    1    8    7    1    3    2    1    10   9    
Vardas363      Pavarde363     4    7    1    1    7    4    5    0    0    8    9    
Vardas364      Pavarde364     1    6    4    3    10   6    10   5    10   9    8    
Vardas365      Pavarde365     7    1    8    4    0    3    2    6    2    3    3    
Vardas366      Pavarde366     5    0    1    9    10   8    10   7    4    8    3    
Vardas367      Pavarde367     9    8    9    1    4    4    6    8    9    0    6    
Vardas368      Pavarde368     3    1    6    2    4    5    10   0    1    0    2    
Vardas369      Pavarde369     0    3    6    7    6    3    4    2    3    9    8    
Vardas37       Pavarde37      3    1    5    10   1    4    4    8    9    4    8    
Vardas370      Pavarde370     3    3    2    9    8    3    10   7    0    3    7    
Vardas371      Pavarde371     6    9    3    4    7    2    3    3    6    8    4    
Vardas372      Pavarde372     10   7    7    9    7    8    8    0    0    10   5    
Vardas373      Pavarde373     6    7    2    10   9    5    7    3    2    3    10   
Vardas374      Pavarde374     9    0    9    5    5    7    4    10   2    6    0    
Vardas375      Pavarde375     10   6    2    0    8    4    7    10   6    3    2    
Vardas376      Pavarde376     7    10   1    1    9    1    0    6    6    9    4    
Vardas377      Pavarde377     3    4    3    6    9    8    0    10   6    8    5    
Vardas378      Pavarde378     7    4    6    7    6    6    9    5    1    8    2    
Vardas379      Pavarde379     2    7    3    3    3    4    3    3    6    5    2    
Vardas38       Pavarde38      0    0    0    2    4    7    6    4    4    2    5    
Vardas380      Pavarde380     10   4    4    0    1    1    7    8    0    10   2    
Vardas381      Pavarde381     0    4    8    5    10   0    1    0    4    7    1    
Vardas382      Pavarde382     10   9    4    7    6    9    1    7    1    7    9    
Vardas383      Pavarde383     6    2    4    6    8    10   5    2    1    1    6    
Vardas384      Pavarde384     10   7    8    0    6    5    6    5    6    2    9    
Vardas385      Pavarde385     4    5    7    4    2    7    10   1    10   8    8    
Vardas386      Pavarde386     2    1    6    10   9    3    2    3    7    5    2    
Vardas387      Pavarde387     8    0    8    2    2    0    1    7    8    8    7    
Vardas388      Pavarde388     7    10   4    6    8    10   4    1    6    7    10   
Vardas389      Pavarde389     1    5    5    0    6    8    4    6    5    6    7    
Vardas39       Pavarde39      7    1    2    9    0    6    7    2    6    10   2    
Vardas390      Pavarde390     8    2    10   6    2    4    0    7    3    3    2    
Vardas391      Pavarde391     0    2    1    3    9    6    3    2    4    7    10   
Vardas392      Pavarde392     9    10   2    0    3    3    0    9    10   8    4    
Vardas393      Pavarde393     9    0    1    9    3    3    2    7    10   0    8    
Vardas394      Pavarde394     1    4    10   10   5    8    10   6    0    8    0    
Vardas395      Pavarde395     7    0    8    1    0    1    0    7    4    7    7    
Vardas396      Pavarde396     0    1    10   10   0    7    4    8    6    9    9    
Vardas397      Pavarde397     8    7    7    2    2    8    7    10   4    2    9    
Vardas398      Pavarde398     4    3    3    9    9    0    5    8    1    7    4    
Vardas399      Pavarde399     10   0    9    3    6    3    5    5    0    4    0    
Vardas4        Pavarde4       8    8    4    3    8    4    10   1    2    8    7    
Vardas40       Pavarde40      2    8    4    4    3    2    3    9    8    8    2    
Vardas400      Pavarde400     4    9    2    9    4    7    1    5    4    0    10   
Vardas401      Pavarde401     5    0    9    9    7    1    6    5    4    10   0    
Vardas402      Pavarde402     7    2    1    2    10   1    7    9    8    6    3    
Vardas403      Pavarde403     3    5    9    9    9    7    1    4    3    10   1    
Vardas404      Pavarde404     9    6    8    4    6    2    0    7    7    0    10   
Vardas405      Pavarde405     7    1    7    6    10   6    1    0    8    0    7    
Vardas406      Pavarde406     8    4    1    2    7    6    6    9    2    0    4    
Vardas407      Pavarde407     3    0    1    2    9    1    2    8    0    0    10   
Vardas408      Pavarde408     2    10   6    5    2    6    10   4    9    6    7    
Vardas409      Pavarde409     3    0    10   8    9    9    10   10   5    8    0    
Vardas41       Pavarde41      0    2    10   5    0    6    6    8    8    6    9    
Vardas410      Pavarde410     6    6    6    1    3    8    6    9    6    5    4    
Vardas411      Pavarde411     2    0    9    9    3    5    1    7    9    6    7    
Vardas412      Pavarde412     8    6    3    5    8    1    9    7    9    6    6    
Vardas413      Pavarde413     4    3    6    0    5    1    7    6    6    10   4    
Vardas414      Pavarde414     1    0    8    0    5    1    0    7    0    4    6    
Vardas415      Pavarde415     7    0    3    7    4    4    1    3    9    4    3    
Vardas416      Pavarde416     4    7    4    6    8    2    2    8    5    0    0    
Vardas417      Pavarde417     4    1    7    8    9    3    1    8    7    8    2    
Vardas418      Pavarde418     5    8    5    6    4    3    9    10   8    2    0    
Vardas419      Pavarde419     2    0    1    1    8    0    9    4    7    8    2    
Vardas42       Pavarde42      6    6    6    0    10   10   1    0    5    7    6    
Vardas420      Pavarde420     1    7    3    0    10   0    7    3    5    3    3    
Vardas421      Pavarde421     10   2    4    6    9    8    5    6    10   5    10   
Vardas422      Pavarde422     0    5    6    7    4    5    8    10   9    10   0    
Vardas423      Pavarde423     10   0    1    10   1    1    8    8    8    8    5    
Vardas424      Pavarde424     7    2    10   9    8    3    4    3    10   10   4    
Vardas425      Pavarde425     5    8    6    6    6    2    0    0    4    5    5    
Vardas426      Pavarde426     9    3    10   10   6    6    0    1    5    10   2    
Vardas427      Pavarde427     0    2    9    2    0    5    5    10   5    2    0    
Vardas428      Pavarde428     9    7    10   6    10   5    8    2    6    3    8    
Vardas429      Pavarde429     6    10   1    4    0    9    7    7    9    3    7    
Vardas43       Pavarde43      9    2    8    8    0    0    6    0    0    9    6    
Vardas430      Pavarde430     10   3    8    7    6    2    5    10   4    5    5    
Vardas431      Pavarde431     2    9    0    7    10   1    8    7    4    7    10   
Vardas432      Pavarde432     1    7    1    1    8    0    10   7    7    7    3    
Vardas433      Pavarde433     2    5    5    6    5    7    7    0    10   5    6    
Vardas434      Pavarde434     3    4    1    8    9    1    1    8    2    6    7    
Vardas435      Pavarde435     7    10   5    1    9    0    9    8    1    2    0    
Vardas436      Pavarde436     6    7    5    7    8    8    2    7    7    1    2    
Vardas437      Pavarde437     0    1    10   8    7    0    7    0    10   0    3    
Vardas438      Pavarde438     3    0    4    5    2    5    5    2    8    7    10   
Vardas439      Pavarde439     8    0    7    9    4    7    8    0    9    9    6    
Vardas44       Pavarde44      10   1    4    4    4    8    3    3    10   2    4    
Vardas440      Pavarde440     4    10   1    8    8    3    0    3    7    8    6    
Vardas441      Pavarde441     4    0    3    10   1    1    1    4    0    2    9    
Vardas442      Pavarde442     8    9    8    9    2    4    3    2    7    4    2    
Vardas443      Pavarde443     4    5    2    7    7    1    4    7    9    3    8    
Vardas444      Pavarde444     3    6    1    2    8    3    2    4    5    4    3    
