Vardas         Pavarde        nd1  nd2  nd3  nd4  nd5  nd6  nd7  nd8  nd9  nd10 Egz. 
Vardas1024     Pavarde1024    1    2    2    5    4    2    1    6    7    4    4    
Vardas1025     Pavarde1025    0    0    4    7    2    4    6    8    9    3    1    
Vardas1026     Pavarde1026    0    7    0    10   1    5    6    7    1    8    10   
Vardas1027     Pavarde1027    1    1    8    3    3    6    1    10   7    5    2    
Vardas1028     Pavarde1028    3    3    8    9    0    0    9    4    3    4    0    
Vardas1029     Pavarde1029    5    0    6    6    4    7    6    5    7    4    6    
Vardas103      Pavarde103     7    8    2    3    7    5    6    7    8    5    6    
Vardas1030     Pavarde1030    2    4    4    0    4    2    3    8    2    8    6    
Vardas1031     Pavarde1031    6    2    10   0    10   7    10   1    0    0    3    
Vardas1032     Pavarde1032    8    4    5    6    7    3    9    4    6    3    5    
Vardas1033     Pavarde1033    8    8    4    6    2    6    0    10   5    10   5    
Vardas1034     Pavarde1034    5    8    7    6    10   4    4    3    6    9    8    
Vardas1035     Pavarde1035    5    0    5    0    6    10   7    10   2    5    4    
Vardas1036     Pavarde1036    10   2    3    9    2    3    7    10   0    7    7    
Vardas1037     Pavarde1037    2    4    5    10   1    5    4    1    2    10   2    
Vardas1038     Pavarde1038    0    2    3    8    7    0    3    2    5    9    6    
Vardas1039     Pavarde1039    9    6    0    8    9    10   4    2    8    2    9    
Vardas104      Pavarde104     4    10   1    3    7    4    9    0    4    2    2    
Vardas1040     Pavarde1040    10   1    2    2    1    3    6    8    2    9    4    
Vardas1041     Pavarde1041    6    5    5    10   1    8    2    8    9    9    3    
Vardas1042     Pavarde1042    1    5    3    7    5    2    0    6    8    0    4    
Vardas1043     Pavarde1043    7    10   1    9    7    6    9    5    9    3    3    
Vardas1044     Pavarde1044    8    8    7    1    3    6    8    6    3    3    5    
Vardas1045     Pavarde1045    3    1    3    8    10   3    2    7    3    6    5    
Vardas1046     Pavarde1046    10   1    8    10   9    3    8    8    7    4    9    
Vardas1047     Pavarde1047    0    2    5    5    7    10   1    2    10   0    5    
Vardas1048     Pavarde1048    9    4    1    10   0    6    2    10   3    6    0    
Vardas1049     Pavarde1049    0    4    8    3    9    8    1    4    7    8    7    
Vardas105      Pavarde105     4    0    4    5    6    10   8    8    1    0    2    
Vardas1050     Pavarde1050    4    0    6    1    5    7    10   10   4    7    10   
Vardas1051     Pavarde1051    3    0    6    3    0    10   2    1    3    9    5    
Vardas1052     Pavarde1052    10   1    7    10   9    8    0    8    0    1    0    
Vardas1053     Pavarde1053    1    1    8    3    7    4    6    1    10   9    1    
Vardas1054     Pavarde1054    8    1    0    8    1    10   8    4    4    0    8    
Vardas1055     Pavarde1055    9    1    8    8    8    2    7    10   7    1    4    
Vardas1056     Pavarde1056    3    1    9    2    5    10   5    10   10   1    1    
Vardas1057     Pavarde1057    9    8    2    4    7    3    1    10   2    2    5    
Vardas1058     Pavarde1058    8    1    10   8    3    9    10   6    5    2    2    
Vardas1059     Pavarde1059    5    1    10   9    8    2    9    7    8    5    9    
Vardas106      Pavarde106     1    1    9    0    4    5    3    5    1    3    8    
Vardas1060     Pavarde1060    2    7    4    1    8    6    1    2    8    0    6    
Vardas1061     Pavarde1061    7    4    8    2    10   1    5    4    2    4    5    
Vardas1062     Pavarde1062    0    7    6    2    5    0    8    1    3    6    2    
Vardas1063     Pavarde1063    4    9    3    10   6    5    9    2    0    9    4    
Vardas1064     Pavarde1064    10   2    1    9    4    9    6    0    4    2    9    
Vardas1065     Pavarde1065    3    0    6    6    2    6    6    5    0    2    8    
Vardas1066     Pavarde1066    4    7    8    5    1    8    1    0    1    0    2    
Vardas1067     Pavarde1067    2    4    1    6    2    2    5    9    7    6    7    
Vardas1068     Pavarde1068    3    6    4    4    9    1    10   6    4    9    5    
Vardas1069     Pavarde1069    5    8    0    0    9    4    2    4    3    5    0    
Vardas107      Pavarde107     0    3    3    0    1    7    10   0    6    7    6    
Vardas1070     Pavarde1070    8    1    0    1    6    4    0    4    7    7    4    
Vardas1071     Pavarde1071    4    0    0    4    4    0    0    0    1    7    7    
Vardas1072     Pavarde1072    2    8    0    1    2    8    5    0    5    6    5    
Vardas1073     Pavarde1073    3    2    5    1    10   2    7    0    7    10   7    
Vardas1074     Pavarde1074    3    3    0    0    6    9    4    5    1    7    5    
Vardas1075     Pavarde1075    3    2    7    1    7    4    6    7    2    3    6    
Vardas1076     Pavarde1076    7    10   8    0    4    8    9    5    10   9    7    
Vardas1077     Pavarde1077    0    10   0    8    4    4    4    2    0    3    10   
Vardas1078     Pavarde1078    6    10   5    1    8    5    1    6    0    1    1    
Vardas1079     Pavarde1079    2    2    8    7    10   1    8    0    7    7    8    
Vardas108      Pavarde108     6    3    5    1    2    8    1    5    2    8    0    
Vardas1080     Pavarde1080    5    1    3    3    3    9    9    5    8    6    1    
Vardas1081     Pavarde1081    5    5    7    6    2    10   7    8    9    10   10   
Vardas1082     Pavarde1082    2    3    9    7    3    7    10   10   4    9    7    
Vardas1083     Pavarde1083    6    9    5    2    9    4    6    6    1    1    9    
Vardas1084     Pavarde1084    3    6    10   6    0    4    5    10   1    4    4    
Vardas1085     Pavarde1085    4    5    5    6    3    9    6    3    10   0    7    
Vardas1086     Pavarde1086    0    8    7    3    9    1    10   4    0    5    2    
Vardas1087     Pavarde1087    6    0    7    7    5    7    10   6    2    10   3    
Vardas1088     Pavarde1088    10   2    3    1    1    1    1    0    6    2    9    
Vardas1089     Pavarde1089    5    10   10   0    9    9    8    3    6    10   4    
Vardas109      Pavarde109     6    7    7    1    5    7    8    9    5    6    1    
Vardas1090     Pavarde1090    9    9    0    4    8    1    4    1    6    9    1    
Vardas1091     Pavarde1091    1    3    8    5    4    5    1    9    9    4    2    
Vardas1092     Pavarde1092    7    8    4    6    9    5    7    6    3    1    0    
Vardas1093     Pavarde1093    10   3    9    3    5    8    0    9    8    10   5    
Vardas1094     Pavarde1094    8    5    3    4    6    8    6    9    0    6    8    
Vardas1095     Pavarde1095    2    4    3    7    2    8    7    5    7    8    6    
Vardas1096     Pavarde1096    10   2    0    2    6    4    5    2    4    5    9    
Vardas1097     Pavarde1097    7    2    4    2    2    6    5    1    9    6    6    
Vardas1098     Pavarde1098    9    7    5    3    6    0    0    4    3    5    0    
Vardas1099     Pavarde1099    7    4    0    3    7    8    5    2    5    6    0    
Vardas11       Pavarde11      0    0    9    3    10   6    7    2    8    9    10   
Vardas110      Pavarde110     7    4    2    0    1    3    6    6    3    10   3    
Vardas1100     Pavarde1100    10   8    1    4    4    4    6    8    2    3    4    
Vardas1101     Pavarde1101    2    2    1    9    5    6    7    10   1    0    8    
Vardas1102     Pavarde1102    10   5    0    8    9    9    2    3    4    9    6    
Vardas1103     Pavarde1103    0    3    6    1    0    3    0    6    3    8    10   
Vardas1104     Pavarde1104    10   6    5    1    1    0    0    2    0    2    10   
Vardas1105     Pavarde1105    10   7    7    10   2    10   4    2    2    4    10   
Vardas1106     Pavarde1106    7    0    3    1    4    1    2    5    4    4    2    
Vardas1107     Pavarde1107    10   1    4    8    5    6    9    2    0    5    1    
Vardas1108     Pavarde1108    7    2    1    3    4    10   0    10   7    8    3    
Vardas1109     Pavarde1109    0    2    7    9    10   0    7    8    5    2    8    
Vardas111      Pavarde111     5    3    4    8    8    8    6    9    9    8    6    
Vardas1110     Pavarde1110    9    7    3    7    7    5    6    4    9    0    0    
Vardas1111     Pavarde1111    0    7    1    6    6    9    4    1    7    2    3    
Vardas1112     Pavarde1112    5    0    2    2    1    10   0    2    10   4    4    
Vardas1113     Pavarde1113    9    1    0    2    1    3    0    1    10   2    5    
Vardas1114     Pavarde1114    8    2    9    8    3    9    4    8    0    5    10   
Vardas1115     Pavarde1115    9    4    5    0    6    0    1    6    4    2    0    
Vardas1116     Pavarde1116    8    8    10   9    6    0    3    3    4    6    1    
Vardas1117     Pavarde1117    4    5    5    1    10   4    0    10   1    4    9    
Vardas1118     Pavarde1118    10   0    5    2    3    5    5    1    10   1    7    
Vardas1119     Pavarde1119    0    3    7    2    3    8    8    7    8    6    4    
Vardas112      Pavarde112     4    5    3    7    1    6    9    3    8    9    7    
Vardas1120     Pavarde1120    6    7    0    9    10   0    0    5    9    9    4    
Vardas1121     Pavarde1121    0    8    3    8    5    0    7    7    1    0    4    
Vardas1122     Pavarde1122    4    0    4    2    8    8    9    2    3    5    10   
Vardas1123     Pavarde1123    5    5    9    9    8    10   0    3    10   7    8    
Vardas1124     Pavarde1124    6    1    0    9    10   6    10   4    7    6    4    
Vardas1125     Pavarde1125    1    2    9    5    6    5    10   0    9    7    5    
Vardas1126     Pavarde1126    8    5    7    6    2    3    9    7    2    1    8    
Vardas1127     Pavarde1127    7    4    8    0    0    5    10   4    7    4    2    
Vardas1128     Pavarde1128    0    5    5    5    0    9    5    5    8    9    5    
Vardas1129     Pavarde1129    7    6    9    8    8    4    5    0    0    3    0    
Vardas113      Pavarde113     9    5    10   0    1    10   8    10   8    6    10   
Vardas1130     Pavarde1130    3    10   0    8    3    3    9    5    7    6    5    
Vardas1131     Pavarde1131    5    8    6    4    3    5    8    4    6    3    0    
Vardas1132     Pavarde1132    5    1    0    6    10   4    3    7    10   6    3    
Vardas1133     Pavarde1133    2    8    1    8    2    5    0    7    2    8    9    
Vardas1134     Pavarde1134    5    4    3    5    7    0    1    1    4    7    10   
Vardas1135     Pavarde1135    7    5    2    5    6    0    1    3    1    8    4    
Vardas1136     Pavarde1136    5    8    1    2    5    0    1    5    9    1    9    
Vardas1137     Pavarde1137    0    3    5    4    7    8    9    3    9    1    6    
Vardas1138     Pavarde1138    6    0    3    0    7    1    10   9    6    1    0    
Vardas1139     Pavarde1139    1    10   9    3    1    10   0    0    2    6    4    
Vardas114      Pavarde114     1    1    3    7    3    10   3    7    9    7    3    
Vardas1140     Pavarde1140    3    7    3    8    0    5    9    10   7    7    3    
Vardas1141     Pavarde1141    0    4    7    9    9    9    3    10   5    6    4    
Vardas1142     Pavarde1142    5    6    1    6    7    4    10   6    1    5    5    
Vardas1143     Pavarde1143    2    1    5    2    8    6    4    4    10   7    7    
Vardas1144     Pavarde1144    9    0    4    9    5    8    7    6    10   1    9    
Vardas1145     Pavarde1145    8    2    8    2    3    9    2    7    7    2    4    
Vardas1146     Pavarde1146    4    0    1    6    9    0    5    6    10   7    10   
Vardas1147     Pavarde1147    3    3    8    5    0    10   1    6    8    0    9    
Vardas1148     Pavarde1148    4    2    8    8    4    8    8    7    1    0    2    
Vardas1149     Pavarde1149    6    5    6    6    9    1    10   0    4    10   4    
Vardas115      Pavarde115     10   0    3    9    6    2    2    6    1    2    4    
Vardas1150     Pavarde1150    2    7    8    8    1    9    6    10   8    10   9    
Vardas1151     Pavarde1151    6    10   5    5    6    6    9    3    3    2    7    
Vardas1152     Pavarde1152    1    4    2    1    0    1    0    0    1    3    5    
Vardas1153     Pavarde1153    10   3    8    5    4    6    8    0    6    6    3    
Vardas1154     Pavarde1154    6    10   3    8    10   5    8    4    6    3    2    
Vardas1155     Pavarde1155    4    3    8    8    1    3    2    4    8    2    9    
Vardas1156     Pavarde1156    4    9    10   2    3    5    4    6    3    2    3    
Vardas1157     Pavarde1157    9    8    2    0    2    6    0    6    5    7    6    
Vardas1158     Pavarde1158    1    3    5    9    8    10   7    8    8    6    9    
Vardas1159     Pavarde1159    3    0    4    6    6    3    0    7    10   1    9    
Vardas116      Pavarde116     7    10   10   4    5    1    5    8    6    9    9    
Vardas1160     Pavarde1160    3    2    7    7    8    5    9    7    6    6    8    
Vardas1161     Pavarde1161    2    3    4    3    6    9    2    1    2    8    9    
Vardas1162     Pavarde1162    7    1    10   2    3    3    4    9    8    4    0    
Vardas1163     Pavarde1163    1    4    4    6    2    2    5    4    5    7    10   
Vardas1164     Pavarde1164    0    9    4    3    8    3    10   4    5    5    4    
Vardas1165     Pavarde1165    8    2    5    0    5    10   0    2    8    0    5    
Vardas1166     Pavarde1166    4    7    5    9    10   10   1    5    5    5    9    
Vardas1167     Pavarde1167    1    6    7    3    10   3    5    5    1    0    7    
Vardas1168     Pavarde1168    0    9    6    5    0    9    2    3    7    3    9    
Vardas1169     Pavarde1169    6    7    9    3    5    4    2    9    9    7    1    
Vardas117      Pavarde117     9    4    7    1    6    5    2    7    3    8    0    
Vardas1170     Pavarde1170    5    5    10   6    2    7    5    9    9    8    8    
Vardas1171     Pavarde1171    1    2    10   4    3    7    7    5    5    9    0    
Vardas1172     Pavarde1172    7    9    6    5    1    5    3    2    10   3    6    
Vardas1173     Pavarde1173    10   5    7    4    8    4    8    5    3    7    0    
Vardas1174     Pavarde1174    1    5    3    7    4    4    5    8    0    5    7    
Vardas1175     Pavarde1175    1    3    10   8    10   10   10   8    6    7    9    
Vardas1176     Pavarde1176    4    2    0    10   0    1    3    5    1    9    8    
Vardas1177     Pavarde1177    4    4    4    3    9    9    1    10   8    1    7    
Vardas1178     Pavarde1178    1    7    9    0    7    3    6    0    9    1    2    
Vardas1179     Pavarde1179    4    9    0    3    10   3    3    8    10   2    10   
Vardas118      Pavarde118     1    9    2    2    8    6    7    6    9    2    6    
Vardas1180     Pavarde1180    0    1    5    9    9    7    8    8    0    0    0    
Vardas1181     Pavarde1181    4    9    9    6    3    1    7    5    9    6    10   
Vardas1182     Pavarde1182    1    4    4    8    8    9    1    1    10   3    9    
Vardas1183     Pavarde1183    9    0    0    4    6    6    8    9    8    5    1    
Vardas1184     Pavarde1184    6    4    6    8    0    6    1    6    9    2    8    
Vardas1185     Pavarde1185    3    6    3    3    8    5    9    2    3    2    5    
Vardas1186     Pavarde1186    2    5    6    3    8    8    5    2    2    10   4    
Vardas1187     Pavarde1187    4    6    8    6    3    1    8    8    3    10   8    
Vardas1188     Pavarde1188    1    9    1    10   1    4    3    7    0    8    3    
Vardas1189     Pavarde1189    3    0    7    6    7    10   4    9    0    3    0    
Vardas119      Pavarde119     1    2    2    5    4    7    3    3    10   2    0    
Vardas1190     Pavarde1190    8    7    6    3    4    0    4    9    2    7    8    
Vardas1191     Pavarde1191    0    8    7    4    5    7    3    0    2    7    5    
Vardas1192     Pavarde1192    7    2    5    3    4    10   5    1    2    9    4    
Vardas1193     Pavarde1193    7    9    4    0    7    10   6    3    0    3    7    
Vardas1194     Pavarde1194    7    7    2    0    8    4    7    10   7    9    6    
Vardas1195     Pavarde1195    7    1    7    5    1    8    6    2    6    7    2    
Vardas1196     Pavarde1196    4    3    2    6    10   2    2    6    3    2    10   
Vardas1197     Pavarde1197    4    1    2    4    4    2    2    8    4    2    9    
Vardas1198     Pavarde1198    2    4    7    2    9    2    1    1    9    1    2    
Vardas1199     Pavarde1199    1    2    0    3    9    5    0    6    1    10   8    
Vardas12       Pavarde12      0    3    7    2    0    5    1    7    7    3    6    
Vardas120      Pavarde120     6    4    0    4    9    4    9    4    3    0    7    
Vardas1200     Pavarde1200    10   5    7    1    5    3    8    7    6    6    6    
Vardas1201     Pavarde1201    1    9    4    1    1    8    3    10   2    9    5    
Vardas1202     Pavarde1202    8    4    6    4    8    4    3    1    6    3    4    
Vardas1203     Pavarde1203    1    7    5    3    4    1    8    6    7    0    10   
Vardas1204     Pavarde1204    6    9    3    4    9    6    6    10   5    9    3    
Vardas1205     Pavarde1205    9    10   10   8    10   9    5    10   2    0    0    
Vardas1206     Pavarde1206    8    5    3    2    9    5    1    3    6    10   7    
Vardas1207     Pavarde1207    1    1    3    2    3    1    6    9    4    5    8    
Vardas1208     Pavarde1208    0    10   5    5    7    3    5    8    8    2    10   
Vardas1209     Pavarde1209    3    2    2    10   4    6    1    7    10   9    6    
Vardas121      Pavarde121     5    2    2    2    0    6    9    4    10   8    4    
Vardas1210     Pavarde1210    2    0    1    5    9    10   2    2    0    4    2    
Vardas1211     Pavarde1211    10   9    9    1    4    5    3    3    5    5    0    
Vardas1212     Pavarde1212    1    10   10   0    2    8    5    5    6    10   9    
Vardas1213     Pavarde1213    7    0    7    5    1    3    3    10   3    2    10   
Vardas1214     Pavarde1214    5    6    4    1    1    5    10   10   10   2    5    
Vardas1215     Pavarde1215    5    5    2    8    0    9    8    1    0    7    2    
Vardas1216     Pavarde1216    8    10   0    10   10   4    0    9    10   9    8    
Vardas1217     Pavarde1217    3    0    7    10   5    8    0    9    8    9    10   
Vardas1218     Pavarde1218    10   4    0    4    10   10   0    2    0    4    8    
Vardas1219     Pavarde1219    7    4    6    0    8    0    7    3    9    7    8    
Vardas122      Pavarde122     10   3    8    4    8    9    6    8    4    7    8    
Vardas1220     Pavarde1220    10   7    3    8    4    4    5    9    6    5    5    
Vardas1221     Pavarde1221    9    5    3    6    5    6    2    8    2    5    3    
Vardas1222     Pavarde1222    9    8    10   8    9    4    0    9    2    5    1    
Vardas1223     Pavarde1223    6    3    1    5    0    8    9    9    10   3    7    
Vardas1224     Pavarde1224    0    1    0    9    5    8    9    8    7    6    1    
Vardas1225     Pavarde1225    0    8    4    10   4    1    7    3    4    3    9    
Vardas1226     Pavarde1226    6    0    2    8    3    4    2    10   4    6    6    
Vardas1227     Pavarde1227    8    9    1    1    10   8    9    2    4    8    5    
Vardas1228     Pavarde1228    8    7    4    1    0    0    7    9    8    10   9    
Vardas1229     Pavarde1229    4    0    8    9    6    9    1    8    7    7    0    
Vardas123      Pavarde123     6    4    5    7    10   0    8    5    8    0    10   
Vardas1230     Pavarde1230    2    8    10   4    9    4    8    8    1    3    5    
Vardas1231     Pavarde1231    1    4    1    1    5    8    4    9    7    6    3    
Vardas1232     Pavarde1232    6    8    9    8    7    7    3    0    6    0    3    
Vardas1233     Pavarde1233    8    6    7    3    0    5    7    5    10   5    7    
Vardas1234     Pavarde1234    4    5    7    0    0    0    4    9    0    5    3    
Vardas1235     Pavarde1235    2    3    10   7    4    1    4    6    5    4    5    
Vardas1236     Pavarde1236    4    9    2    0    9    3    2    10   2    1    7    
Vardas1237     Pavarde1237    1    8    9    6    6    4    4    8    7    6    4    
Vardas1238     Pavarde1238    1    9    7    3    6    5    2    0    1    10   9    
Vardas1239     Pavarde1239    2    6    10   0    0    0    3    10   2    8    7    
Vardas124      Pavarde124     1    8    0    10   0    4    5    10   2    8    5    
Vardas1240     Pavarde1240    9    10   10   10   7    1    0    5    10   1    3    
Vardas1241     Pavarde1241    4    6    3    3    8    7    8    8    7    0    10   
Vardas1242     Pavarde1242    2    6    3    3    1    6    0    0    5    6    0    
Vardas1243     Pavarde1243    8    9    4    6    10   0    4    7    9    7    8    
Vardas1244     Pavarde1244    2    8    0    5    5    8    3    2    5    4    7    
Vardas1245     Pavarde1245    6    4    10   4    7    7    7    8    1    5    0    
Vardas1246     Pavarde1246    6    0    0    1    3    3    10   0    5    10   1    
Vardas1247     Pavarde1247    6    5    6    3    1    4    0    3    4    0    8    
Vardas1248     Pavarde1248    2    5    6    6    7    9    1    5    3    1    6    
Vardas1249     Pavarde1249    9    3    8    2    3    0    9    7    0    8    2    
Vardas125      Pavarde125     4    3    10   7    10   6    7    2    8    7    7    
Vardas1250     Pavarde1250    0    2    4    5    0    10   0    10   1    3    8    
Vardas1251     Pavarde1251    0    8    1    7    7    5    3    1    6    3    2    
Vardas1252     Pavarde1252    1    1    9    6    1    6    5    5    2    5    3    
Vardas1253     Pavarde1253    9    4    8    8    1    0    9    1    4    10   5    
Vardas1254     Pavarde1254    3    10   8    4    5    0    7    2    10   4    7    
Vardas1255     Pavarde1255    6    3    6    3    0    5    10   8    2    6    2    
Vardas1256     Pavarde1256    6    8    7    6    8    0    6    8    6    5    10   
Vardas1257     Pavarde1257    1    5    8    9    4    4    10   9    10   6    0    
Vardas1258     Pavarde1258    6    2    3    6    9    7    8    1    10   1    7    
Vardas1259     Pavarde1259    1    10   4    9    9    3    5    1    8    3    8    
Vardas126      Pavarde126     8    1    2    10   3    4    3    9    5    0    1    
Vardas1260     Pavarde1260    8    7    4    9    1    3    0    3    7    7    2    
Vardas1261     Pavarde1261    1    8    2    10   7    0    9    6    0    8    6    
Vardas1262     Pavarde1262    2    9    10   2    9    1    1    5    2    5    0    
Vardas1263     Pavarde1263    9    10   3    4    4    7    9    8    8    0    2    
Vardas1264     Pavarde1264    9    7    1    9    9    0    1    6    7    8    3    
Vardas1265     Pavarde1265    5    5    10   7    10   8    7    2    1    7    6    
Vardas1266     Pavarde1266    3    9    7    10   6    7    7    7    7    6    9    
Vardas1267     Pavarde1267    7    7    2    4    9    4    2    0    8    1    7    
Vardas1268     Pavarde1268    1    3    7    5    2    6    8    1    2    8    2    
Vardas1269     Pavarde1269    5    9    3    5    0    3    7    1    8    10   8    
Vardas127      Pavarde127     9    8    9    10   2    2    2    2    5    9    6    
Vardas1270     Pavarde1270    0    3    2    3    10   5    0    6    6    2    1    
Vardas1271     Pavarde1271    5    9    1    10   4    2    10   10   10   7    5    
Vardas1272     Pavarde1272    9    2    0    5    3    3    4    2    6    1    8    
Vardas1273     Pavarde1273    7    4    10   10   9    9    3    6    1    2    6    
Vardas1274     Pavarde1274    10   0    6    8    9    3    7    0    3    9    2    
Vardas1275     Pavarde1275    1    2    8    10   2    8    7    7    7    7    3    
Vardas1276     Pavarde1276    7    10   10   1    6    5    4    5    5    8    3    
Vardas1277     Pavarde1277    5    7    2    8    1    8    5    9    5    8    6    
Vardas1278     Pavarde1278    8    7    1    1    9    4    5    6    0    0    8    
Vardas1279     Pavarde1279    7    1    1    10   1    3    3    1    1    4    6    
Vardas128      Pavarde128     7    5    5    0    5    3    3    0    7    1    4    
Vardas1280     Pavarde1280    1    4    5    7    0    1    10   1    7    3    8    
Vardas1281     Pavarde1281    8    10   9    0    3    10   3    6    2    5    2    
Vardas1282     Pavarde1282    3    10   5    3    4    3    8    6    4    3    8    
Vardas1283     Pavarde1283    0    3    2    5    1    10   8    6    10   5    7    
Vardas1284     Pavarde1284    9    8    8    10   10   9    3    10   8    4    4    
Vardas1285     Pavarde1285    4    3    9    0    7    6    4    7    4    8    8    
Vardas1286     Pavarde1286    3    2    10   5    5    6    9    9    8    5    9    
Vardas1287     Pavarde1287    1    10   8    10   7    10   6    9    4    0    4    
Vardas1288     Pavarde1288    3    3    6    1    7    10   3    3    4    1    7    
Vardas1289     Pavarde1289    5    0    5    9    8    2    6    0    3    0    6    
Vardas129      Pavarde129     4    0    10   9    5    2    9    10   5    4    5    
Vardas1290     Pavarde1290    2    10   10   3    7    0    0    0    5    2    8    
Vardas1291     Pavarde1291    0    4    10   10   5    3    1    1    4    3    0    
Vardas1292     Pavarde1292    4    3    1    2    1    2    2    2    10   10   6    
Vardas1293     Pavarde1293    8    7    4    8    10   4    8    5    6    8    1    
Vardas1294     Pavarde1294    8    4    2    5    5    8    8    5    6    6    0    
Vardas1295     Pavarde1295    1    2    2    2    10   8    4    9    3    7    5    
Vardas1296     Pavarde1296    3    0    7    0    2    8    8    10   5    5    5    
Vardas1297     Pavarde1297    5    9    3    9    1    5    10   2    4    1    9    
Vardas1298     Pavarde1298    8    3    1    6    9    0    1    7    7    5    10   
Vardas1299     Pavarde1299    9    0    5    6    9    3    2    4    7    0    2    
Vardas13       Pavarde13      0    7    2    7    3    1    9    10   6    9    4    
Vardas130      Pavarde130     0    3    7    9    10   4    9    3    7    9    7    
Vardas1300     Pavarde1300    8    9    3    3    0    4    8    0    10   1    2    
Vardas1301     Pavarde1301    8    4    6    9    6    3    5    4    2    0    5    
Vardas1302     Pavarde1302    4    7    10   7    10   4    0    0    5    1    2    
Vardas1303     Pavarde1303    8    5    0    10   2    1    8    7    1    10   3    
Vardas1304     Pavarde1304    3    0    6    4    8    2    9    0    4    10   4    
Vardas1305     Pavarde1305    8    9    2    2    5    0    4    6    8    6    7    
Vardas1306     Pavarde1306    8    6    6    10   3    3    6    9    3    0    6    
Vardas1307     Pavarde1307    8    3    0    8    0    2    8    5    6    5    2    
Vardas1308     Pavarde1308    4    2    2    4    6    4    6    9    5    2    2    
Vardas1309     Pavarde1309    6    1    4    5    10   2    8    6    8    3    9    
Vardas131      Pavarde131     2    1    8    7    5    9    7    9    1    6    5    
Vardas1310     Pavarde1310    6    10   6    2    0    8    8    10   10   10   8    
Vardas1311     Pavarde1311    1    10   9    2    4    3    2    8    10   9    4    
Vardas1312     Pavarde1312    7    2    7    6    8    6    7    7    8    4    10   
Vardas1313     Pavarde1313    8    3    5    8    5    4    9    1    5    8    8    
Vardas1314     Pavarde1314    3    4    9    5    7    3    10   1    8    10   8    
Vardas1315     Pavarde1315    10   1    8    4    5    4    6    2    3    4    9    
Vardas1316     Pavarde1316    5    2    2    10   10   0    5    10   5    3    8    
Vardas1317     Pavarde1317    7    9    6    10   0    1    5    2    9    4    8    
Vardas1318     Pavarde1318    3    5    10   6    4    3    8    1    7    2    9    
Vardas1319     Pavarde1319    7    6    1    0    4    9    8    3    5    0    10   
Vardas132      Pavarde132     5    10   9    9    6    7    3    5    4    1    5    
Vardas1320     Pavarde1320    10   10   7    1    2    5    2    0    2    3    6    
Vardas1321     Pavarde1321    0    5    0    0    10   0    6    4    0    6    2    
Vardas1322     Pavarde1322    9    4    6    3    9    5    0    10   10   6    0    
Vardas1323     Pavarde1323    4    4    2    2    3    9    6    10   3    9    3    
Vardas1324     Pavarde1324    0    0    4    7    4    8    1    3    9    4    7    
Vardas1325     Pavarde1325    3    7    7    7    3    8    6    7    2    8    5    
Vardas1326     Pavarde1326    10   3    10   1    10   4    7    1    6    10   2    
Vardas1327     Pavarde1327    1    6    0    3    5    4    0    4    7    3    0    
